date,time_of_day,open_interest
2024-09-02,11:00:00,58187.0
2024-09-02,11:30:00,58657.5
2024-09-02,12:00:00,58578.1
2024-09-02,12:30:00,58652.9
2024-09-02,13:00:00,58572.9
2024-09-02,13:30:00,58357.4
2024-09-02,14:00:00,58445.1
2024-09-02,14:30:00,58489.5
2024-09-02,15:00:00,58541.5
2024-09-02,15:30:00,58437.2
2024-09-02,16:00:00,58464.9
2024-09-02,16:30:00,58460.3
2024-09-02,17:00:00,58492.8
2024-09-02,17:30:00,58844.0
2024-09-02,18:00:00,59174.0
2024-09-02,18:30:00,59033.8
2024-09-02,19:00:00,59121.9
2024-09-02,19:30:00,59236.0
2024-09-02,20:00:00,59293.4
2024-09-02,20:30:00,59118.6
2024-09-02,21:00:00,59101.9
2024-09-02,21:30:00,59162.2
2024-09-02,22:00:00,59289.2
2024-09-02,22:30:00,59272.3
2024-09-02,23:00:00,59606.3
2024-09-02,23:30:00,59397.3
2024-09-03,00:00:00,59286.1
2024-09-03,00:30:00,59148.2
2024-09-03,01:00:00,59118.0
2024-09-03,01:30:00,59069.9
2024-09-03,02:00:00,59208.7
2024-09-03,02:30:00,59183.5
2024-09-03,03:00:00,58997.3
2024-09-03,03:30:00,58938.6
2024-09-03,04:00:00,58921.9
2024-09-03,04:30:00,59063.7
2024-09-03,05:00:00,59095.9
2024-09-03,05:30:00,58765.4
2024-09-03,06:00:00,58837.5
2024-09-03,06:30:00,58927.4
2024-09-03,07:00:00,59035.6
2024-09-03,07:30:00,59067.7
2024-09-03,08:00:00,59010.7
2024-09-03,08:30:00,59006.8
2024-09-03,09:00:00,59138.2
2024-09-03,09:30:00,59244.0
2024-09-03,10:00:00,59241.1
2024-09-03,10:30:00,58590.7
2024-09-03,11:00:00,58017.2
2024-09-03,11:30:00,57713.7
2024-09-03,12:00:00,57814.5
2024-09-03,12:30:00,57680.5
2024-09-03,13:00:00,57766.2
2024-09-03,13:30:00,57699.1
2024-09-03,14:00:00,57833.9
2024-09-03,14:30:00,57922.3
2024-09-03,15:00:00,57692.1
2024-09-03,15:30:00,57916.7
2024-09-03,16:00:00,58050.2
2024-09-03,16:30:00,57935.8
2024-09-03,17:00:00,58104.1
2024-09-03,17:30:00,58112.7
2024-09-03,18:00:00,58094.6
2024-09-03,18:30:00,58004.3
2024-09-03,19:00:00,58056.1
2024-09-03,19:30:00,57895.1
2024-09-03,20:00:00,57780.5
2024-09-03,20:30:00,57540.6
2024-09-03,21:00:00,57762.7
2024-09-03,21:30:00,57456.9
2024-09-03,22:00:00,56295.2
2024-09-03,22:30:00,56728.1
2024-09-03,23:00:00,56695.7
2024-09-03,23:30:00,56694.1
2024-09-04,00:00:00,56752.4
2024-09-04,00:30:00,56705.7
2024-09-04,01:00:00,56641.8
2024-09-04,01:30:00,56610.0
2024-09-04,02:00:00,56535.7
2024-09-04,02:30:00,56298.0
2024-09-04,03:00:00,56356.1
2024-09-04,03:30:00,56417.1
2024-09-04,04:00:00,56441.1
2024-09-04,04:30:00,56720.7
2024-09-04,05:00:00,56757.6
2024-09-04,05:30:00,56757.9
2024-09-04,06:00:00,56747.1
2024-09-04,06:30:00,56693.9
2024-09-04,07:00:00,56571.5
2024-09-04,07:30:00,56521.0
2024-09-04,08:00:00,56490.9
2024-09-04,08:30:00,56585.5
2024-09-04,09:00:00,56568.9
2024-09-04,09:30:00,56637.9
2024-09-04,10:00:00,56538.1
2024-09-04,10:30:00,56487.8
2024-09-04,11:00:00,56467.4
2024-09-04,11:30:00,57113.2
2024-09-04,12:00:00,57571.8
2024-09-04,12:30:00,57849.8
2024-09-04,13:00:00,58313.2
2024-09-04,13:30:00,58413.1
2024-09-04,14:00:00,58283.8
2024-09-04,14:30:00,57912.1
2024-09-04,15:00:00,57878.1
2024-09-04,15:30:00,57748.7
2024-09-04,16:00:00,57792.0
2024-09-04,16:30:00,57940.2
2024-09-04,17:00:00,58041.3
2024-09-04,17:30:00,57992.9
2024-09-04,18:00:00,58015.1
2024-09-04,18:30:00,58039.4
2024-09-04,19:00:00,58240.9
2024-09-04,19:30:00,58120.0
2024-09-04,20:00:00,58185.9
2024-09-04,20:30:00,58034.3
2024-09-04,21:00:00,58060.7
2024-09-04,21:30:00,58178.8
2024-09-04,22:00:00,58008.9
2024-09-04,22:30:00,58109.1
2024-09-04,23:00:00,57789.4
2024-09-04,23:30:00,57771.8
2024-09-05,00:00:00,57211.3
2024-09-05,00:30:00,57079.2
2024-09-05,01:00:00,57168.7
2024-09-05,01:30:00,57171.2
2024-09-05,02:00:00,57103.3
2024-09-05,02:30:00,57205.6
2024-09-05,03:00:00,56805.1
2024-09-05,03:30:00,56829.2
2024-09-05,04:00:00,57039.5
2024-09-05,04:30:00,57183.4
2024-09-05,05:00:00,57195.0
2024-09-05,05:30:00,57039.2
2024-09-05,06:00:00,56906.5
2024-09-05,06:30:00,56779.4
2024-09-05,07:00:00,56756.4
2024-09-05,07:30:00,56799.1
2024-09-05,08:00:00,56721.1
2024-09-05,08:30:00,56791.2
2024-09-05,09:00:00,56561.9
2024-09-05,09:30:00,56656.9
2024-09-05,10:00:00,56658.0
2024-09-05,10:30:00,56863.8
2024-09-05,11:00:00,57133.9
2024-09-05,11:30:00,56710.3
2024-09-05,12:00:00,56381.8
2024-09-05,12:30:00,56012.4
2024-09-05,13:00:00,56099.2
2024-09-05,13:30:00,56267.8
2024-09-05,14:00:00,56379.6
2024-09-05,14:30:00,56425.9
2024-09-05,15:00:00,56605.8
2024-09-05,15:30:00,56615.3
2024-09-05,16:00:00,56271.5
2024-09-05,16:30:00,56045.2
2024-09-05,17:00:00,56082.2
2024-09-05,17:30:00,56104.9
2024-09-05,18:00:00,56158.7
2024-09-05,18:30:00,56014.3
2024-09-05,19:00:00,55826.1
2024-09-05,19:30:00,56066.7
2024-09-05,20:00:00,56069.5
2024-09-05,20:30:00,56129.2
2024-09-05,21:00:00,56236.3
2024-09-05,21:30:00,56104.4
2024-09-05,22:00:00,56113.9
2024-09-05,22:30:00,56359.7
2024-09-05,23:00:00,56685.8
2024-09-05,23:30:00,56766.2
2024-09-06,00:00:00,56732.9
2024-09-06,00:30:00,56730.6
2024-09-06,01:00:00,56656.2
2024-09-06,01:30:00,56641.2
2024-09-06,02:00:00,56467.1
2024-09-06,02:30:00,56457.9
2024-09-06,03:00:00,56430.6
2024-09-06,03:30:00,56326.2
2024-09-06,04:00:00,55742.4
2024-09-06,04:30:00,55576.3
2024-09-06,05:00:00,55810.8
2024-09-06,05:30:00,55767.2
2024-09-06,06:00:00,55767.1
2024-09-06,06:30:00,55855.4
2024-09-06,07:00:00,55968.8
2024-09-06,07:30:00,56184.3
2024-09-06,08:00:00,56095.9
2024-09-06,08:30:00,55925.0
2024-09-06,09:00:00,55891.1
2024-09-06,09:30:00,56595.1
2024-09-06,10:00:00,56836.5
2024-09-06,10:30:00,56347.8
2024-09-06,11:00:00,55211.2
2024-09-06,11:30:00,54646.6
2024-09-06,12:00:00,54225.5
2024-09-06,12:30:00,54193.7
2024-09-06,13:00:00,54077.1
2024-09-06,13:30:00,53887.8
2024-09-06,14:00:00,54195.2
2024-09-06,14:30:00,53912.3
